"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Oceania","Americas","PICs","Vitaminb12","mcg",3214379.97619816,2.4,1339324.99008257
"Oceania","Asia","PICs","Protein","g",606620541.600307,50,12132410.8320061
"Oceania","Asia","PICs","Fattyacids","g",17448263.6906306,1.4,12463045.4933076
"Oceania","Asia","PICs","Calcium","mg",726139294.741315,1300,558568.68826255
"Oceania","Asia","PICs","Zinc","mg",17680565.2067072,11,1607324.10970066
"Oceania","Asia","PICs","Iron","mg",29678208.614646,18,1648789.36748033
"Oceania","Asia","PICs","Vitamina","mcg",940467193.814722,900,1044963.54868302
"Oceania","Asia","PICs","Vitaminb12","mcg",113415104.261167,2.4,47256293.4421527
"Oceania","Europe","PICs","Protein","g",1199646.00769189,50,23992.9201538379
"Oceania","Europe","PICs","Fattyacids","g",42752.7282009876,1.4,30537.6630007055
"Oceania","Europe","PICs","Calcium","mg",548856.936010262,1300,422.197643084817
"Oceania","Europe","PICs","Zinc","mg",48069.6516125149,11,4369.96832841045
"Oceania","Europe","PICs","Iron","mg",108140.869724446,18,6007.82609580257
"Oceania","Europe","PICs","Vitamina","mcg",746962.470669774,900,829.958300744194
"Oceania","Europe","PICs","Vitaminb12","mcg",465823.294567556,2.4,194093.039403148
"Oceania","Oceania","Africa","Protein","g",11946475.569046,50,238929.51138092
"Oceania","Oceania","Africa","Fattyacids","g",558653.250369275,1.4,399038.035978054
"Oceania","Oceania","Africa","Calcium","mg",72772296.1166075,1300,55978.6893204673
"Oceania","Oceania","Africa","Zinc","mg",480507.65670294,11,43682.5142457218
"Oceania","Oceania","Africa","Iron","mg",873855.702081596,18,48547.5390045331
"Oceania","Oceania","Africa","Vitamina","mcg",21953586.2284519,900,24392.8735871688
"Oceania","Oceania","Africa","Vitaminb12","mcg",4200774.4218664,2.4,1750322.67577767
"Oceania","Oceania","Americas","Protein","g",602614532.108877,50,12052290.6421775
"Oceania","Oceania","Americas","Fattyacids","g",17991144.0550342,1.4,12850817.1821673
"Oceania","Oceania","Americas","Calcium","mg",785130448.179798,1300,603946.498599845
"Oceania","Oceania","Americas","Zinc","mg",19473589.4386723,11,1770326.31260658
"Oceania","Oceania","Americas","Iron","mg",31913905.1072213,18,1772994.72817896
"Oceania","Oceania","Americas","Vitamina","mcg",703291052.790547,900,781434.503100608
"Oceania","Oceania","Americas","Vitaminb12","mcg",146260109.42209,2.4,60941712.2592041
"Oceania","Oceania","Asia","Protein","g",1300809143.59348,50,26016182.8718696
"Oceania","Oceania","Asia","Fattyacids","g",51889869.3459599,1.4,37064192.3899714
"Oceania","Oceania","Asia","Calcium","mg",2365030864.74163,1300,1819254.51133972
"Oceania","Oceania","Asia","Zinc","mg",53236465.2610008,11,4839678.66009098
"Oceania","Oceania","Asia","Iron","mg",80076683.400482,18,4448704.63336011
"Oceania","Oceania","Asia","Vitamina","mcg",1612927200.89192,900,1792141.33432436
"Oceania","Oceania","Asia","Vitaminb12","mcg",456841408.523251,2.4,190350586.884688
"Oceania","Oceania","Europe","Protein","g",403193279.893119,50,8063865.59786238
"Oceania","Oceania","Europe","Fattyacids","g",15338675.516484,1.4,10956196.7974886
"Oceania","Oceania","Europe","Calcium","mg",759991945.377752,1300,584609.188752117
"Oceania","Oceania","Europe","Zinc","mg",15040859.0600784,11,1367350.82364349
"Oceania","Oceania","Europe","Iron","mg",24997777.9162524,18,1388765.4397918
"Oceania","Oceania","Europe","Vitamina","mcg",443848489.158895,900,493164.987954328
"Oceania","Oceania","Europe","Vitaminb12","mcg",135687455.122216,2.4,56536439.6342566
"Oceania","Oceania","Oceania","Protein","g",38992245.7918568,50,779844.915837136
"Oceania","Oceania","Oceania","Fattyacids","g",2074116.01077484,1.4,1481511.43626774
"Oceania","Oceania","Oceania","Calcium","mg",59133269.4290896,1300,45487.1303300689
"Oceania","Oceania","Oceania","Zinc","mg",1959741.18479954,11,178158.289527231
"Oceania","Oceania","Oceania","Iron","mg",2998945.91118651,18,166608.106177029
"Oceania","Oceania","Oceania","Vitamina","mcg",42435263.5627152,900,47150.2928474614
"Oceania","Oceania","Oceania","Vitaminb12","mcg",20749089.7925335,2.4,8645454.08022228
"Oceania","Oceania","PICs","Protein","g",13597217012.9852,50,271944340.259705
"Oceania","Oceania","PICs","Fattyacids","g",451324497.751944,1.4,322374641.251389
"Oceania","Oceania","PICs","Calcium","mg",23343021025.1192,1300,17956170.0193224
"Oceania","Oceania","PICs","Zinc","mg",462187182.374155,11,42017016.5794687
"Oceania","Oceania","PICs","Iron","mg",707062233.701458,18,39281235.2056365
"Oceania","Oceania","PICs","Vitamina","mcg",19471793496.1138,900,21635326.1067931
"Oceania","Oceania","PICs","Vitaminb12","mcg",3229009035.78173,2.4,1345420431.57572
"PICs","Africa","Africa","Protein","g",515753582.847214,50,10315071.6569443
"PICs","Africa","Africa","Fattyacids","g",15394495.3524961,1.4,10996068.1089258
"PICs","Africa","Africa","Calcium","mg",313973424.387508,1300,241518.018759622
"PICs","Africa","Africa","Zinc","mg",18918107.8371417,11,1719827.9851947
