"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"TTO",1463147.47058824,"Net","vitamina",34593606261.6132,6765813.85910683,900,"mcg",38437340.2906813,26.2703118197841,7517.57095456314,0.00513794481122318
"TTO",1463147.47058824,"Net","vitaminb12",10146642806.0391,1984479.32838629,2.4,"mcg",4227767835.84963,2889.50220045142,826866.386827622,0.565128535194879
"TUN",11538396.3529412,"Net","protein",231741930698.143,45324062.3309491,50,"g",4634838613.96285,401.688282512623,906481.246618981,0.0785621518702568
"TUN",11538396.3529412,"Net","fattyacids",22961192607.7585,4490747.62522169,1.4,"g",16400851862.6846,1421.41519159238,3207676.87515835,0.278000233051511
"TUN",11538396.3529412,"Net","calcium",492946110059.667,96410348.1438816,1300,"mg",379189315.430513,32.8632596620635,74161.8062645243,0.00642739285391425
"TUN",11538396.3529412,"Net","zinc",7718080790.92511,1509501.42595836,11,"mg",701643708.265919,60.8094649207528,137227.402359851,0.0118931087269221
"TUN",11538396.3529412,"Net","iron",16228401791.6971,3173949.10848761,18,"mg",901577877.316507,78.1371907965956,176330.506027089,0.0152820635236839
"TUN",11538396.3529412,"Net","vitamina",257902026176.686,50440451.0417927,900,"mcg",286557806.862984,24.8351502321152,56044.9456019918,0.00485725605947882
"TUN",11538396.3529412,"Net","vitaminb12",59216704831.7108,11581596.8769237,2.4,"mcg",24673627013.2128,2138.39308847485,4825665.36538487,0.418226694401496
"TUR",78161988.4705882,"Net","protein",554269641234.659,108403997.894516,50,"g",11085392824.6932,141.825880349302,2168079.95789031,0.0277382907000395
"TUR",78161988.4705882,"Net","fattyacids",57577024277.562,11260908.3273151,1.4,"g",41126445912.5443,526.169391506971,8043505.9480822,0.10290815402053
"TUR",78161988.4705882,"Net","calcium",1678005798204.03,328184196.793279,1300,"mg",1290773690.92618,16.5140846104739,252449.382148676,0.00322982292401211
"TUR",78161988.4705882,"Net","zinc",35958481047.1514,7032755.92551366,11,"mg",3268952822.4683,41.8227950239314,639341.447773969,0.00817969783374368
"TUR",78161988.4705882,"Net","iron",53000744399.0425,10365879.9919895,18,"mg",2944485799.94681,37.6715825372687,575882.221777197,0.00736780413402478
"TUR",78161988.4705882,"Net","vitamina",1085458008622.81,212293762.687817,900,"mcg",1206064454.02535,15.4303194893663,235881.958542019,0.00301786025608573
"TUR",78161988.4705882,"Net","vitaminb12",192098967977.732,37570695.868909,2.4,"mcg",80041236657.3882,1024.04299357746,15654456.6120454,0.200282220531481
"TUV",10599.1428571429,"Net","protein",-8611623921.13979,-1684260.49699585,50,"g",-172232478.422796,-16249.6610097794,-33685.209939917,-3.17810698411488
"TUV",10599.1428571429,"Net","fattyacids",-251652551.07887,-49218.1793621885,1.4,"g",-179751822.199193,-16959.0904304169,-35155.8424015632,-3.31685711527809
"TUV",10599.1428571429,"Net","calcium",-3342343217.84281,-653695.133550324,1300,"mg",-2571033.24449447,-242.569920902786,-502.842410423326,-0.0474417995115951
"TUV",10599.1428571429,"Net","zinc",-317886383.22267,-62172.1852577098,11,"mg",-28898762.1111519,-2726.51878558998,-5652.01684160999,-0.53325225612947
"TUV",10599.1428571429,"Net","iron",-705943314.417,-138068.318876785,18,"mg",-39219073.0231667,-3700.21175785329,-7670.46215982138,-0.723687024809953
"TUV",10599.1428571429,"Net","vitamina",-5318972220.79082,-1040284.02518889,900,"mcg",-5909969.13421202,-557.58934603181,-1155.87113909877,-0.109053265408138
"TUV",10599.1428571429,"Net","vitaminb12",-3001121390.16636,-586959.004530874,2.4,"mcg",-1250467245.90265,-117978.148116001,-244566.251887864,-23.0741537484844
"TZA",53372328.7647059,"Net","protein",90249502354.1926,17650988.1388994,50,"g",1804990047.08385,33.8188362557914,353019.762777988,0.00661428442319408
"TZA",53372328.7647059,"Net","fattyacids",5659042572.26245,1106794.94861382,1.4,"g",4042173265.90175,75.7353737312426,790567.820438441,0.0148123163957056
"TZA",53372328.7647059,"Net","calcium",538819315895.939,105382224.896526,1300,"mg",414476396.84303,7.7657543981314,81063.2499204048,0.00151882542502081
