"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value"
"Oceania","PICs","Europe","Zinc","mg",15040859.0600784
"Oceania","PICs","Europe","Iron","mg",24997777.9162524
"Oceania","PICs","Europe","Vitamina","mcg",443848489.158895
"Oceania","PICs","Europe","Vitaminb12","mcg",135687455.122216
"Oceania","PICs","Oceania","Protein","g",38992245.7918568
"Oceania","PICs","Oceania","Fattyacids","g",2074116.01077484
"Oceania","PICs","Oceania","Calcium","mg",59133269.4290896
"Oceania","PICs","Oceania","Zinc","mg",1959741.18479954
"Oceania","PICs","Oceania","Iron","mg",2998945.91118651
"Oceania","PICs","Oceania","Vitamina","mcg",42435263.5627152
"Oceania","PICs","Oceania","Vitaminb12","mcg",20749089.7925335
"Oceania","PICs","PICs","Protein","g",141873384.892236
"Oceania","PICs","PICs","Fattyacids","g",7697749.81237102
"Oceania","PICs","PICs","Calcium","mg",90886345.6860195
"Oceania","PICs","PICs","Zinc","mg",8029058.23643873
"Oceania","PICs","PICs","Iron","mg",11708976.0161267
"Oceania","PICs","PICs","Vitamina","mcg",62897204.3679546
"Oceania","PICs","PICs","Vitaminb12","mcg",91181699.88396
"PICs","Africa","Africa","Protein","g",515753582.847214
"PICs","Africa","Africa","Fattyacids","g",15394495.3524961
"PICs","Africa","Africa","Calcium","mg",313973424.387508
"PICs","Africa","Africa","Zinc","mg",18918107.8371417
"PICs","Africa","Africa","Iron","mg",38840659.5454968
"PICs","Africa","Africa","Vitamina","mcg",350476596.100323
"PICs","Africa","Africa","Vitaminb12","mcg",165888757.450899
"PICs","Africa","Americas","Protein","g",143144796.915619
"PICs","Africa","Americas","Fattyacids","g",3695280.83897315
"PICs","Africa","Americas","Calcium","mg",89830663.1543311
"PICs","Africa","Americas","Zinc","mg",4802485.78091195
"PICs","Africa","Americas","Iron","mg",9213780.20201788
"PICs","Africa","Americas","Vitamina","mcg",103771167.56823
"PICs","Africa","Americas","Vitaminb12","mcg",36747971.0374383
"PICs","Africa","Asia","Protein","g",389511419.396775
"PICs","Africa","Asia","Fattyacids","g",11342654.9784014
"PICs","Africa","Asia","Calcium","mg",1549877753.90612
"PICs","Africa","Asia","Zinc","mg",11712836.1628944
"PICs","Africa","Asia","Iron","mg",24839373.602478
"PICs","Africa","Asia","Vitamina","mcg",280137404.904406
"PICs","Africa","Asia","Vitaminb12","mcg",87489889.413338
"PICs","Africa","Europe","Protein","g",2194239963.16711
"PICs","Africa","Europe","Fattyacids","g",53426664.4367637
"PICs","Africa","Europe","Calcium","mg",2127609699.50186
"PICs","Africa","Europe","Zinc","mg",72477158.812535
"PICs","Africa","Europe","Iron","mg",132515239.945351
"PICs","Africa","Europe","Vitamina","mcg",1612373394.63419
"PICs","Africa","Europe","Vitaminb12","mcg",519475773.591407
"PICs","Africa","Oceania","Protein","g",18861119.1824128
"PICs","Africa","Oceania","Fattyacids","g",605689.605492267
"PICs","Africa","Oceania","Calcium","mg",20986903.3756603
"PICs","Africa","Oceania","Zinc","mg",690500.520149747
"PICs","Africa","Oceania","Iron","mg",1371399.9402043
"PICs","Africa","Oceania","Vitamina","mcg",13458089.3358967
"PICs","Africa","Oceania","Vitaminb12","mcg",5818378.94258273
"PICs","Africa","PICs","Protein","g",48861617.9013989
"PICs","Africa","PICs","Fattyacids","g",1106105.81780389
"PICs","Africa","PICs","Calcium","mg",59185211.4552136
"PICs","Africa","PICs","Zinc","mg",1485671.74343471
"PICs","Africa","PICs","Iron","mg",1661127.65752196
"PICs","Africa","PICs","Vitamina","mcg",41736379.7344932
"PICs","Africa","PICs","Vitaminb12","mcg",6242363.74829837
"PICs","Americas","Africa","Protein","g",113657217.304719
"PICs","Americas","Africa","Fattyacids","g",3353155.93801547
"PICs","Americas","Africa","Calcium","mg",98470256.130634
"PICs","Americas","Africa","Zinc","mg",3970346.71249902
"PICs","Americas","Africa","Iron","mg",7366014.1334109
"PICs","Americas","Africa","Vitamina","mcg",84154140.6683179
"PICs","Americas","Africa","Vitaminb12","mcg",29421567.8272683
"PICs","Americas","Americas","Protein","g",8155873593.99297
"PICs","Americas","Americas","Fattyacids","g",218687363.016654
"PICs","Americas","Americas","Calcium","mg",5573837267.99907
"PICs","Americas","Americas","Zinc","mg",265932819.35724
"PICs","Americas","Americas","Iron","mg",501891983.532365
"PICs","Americas","Americas","Vitamina","mcg",5944235896.74335
"PICs","Americas","Americas","Vitaminb12","mcg",1888464773.71458
"PICs","Americas","Asia","Protein","g",5176279119.86889
"PICs","Americas","Asia","Fattyacids","g",125975310.509193
"PICs","Americas","Asia","Calcium","mg",5705899987.4096
"PICs","Americas","Asia","Zinc","mg",157253832.586934
"PICs","Americas","Asia","Iron","mg",243334517.141221
"PICs","Americas","Asia","Vitamina","mcg",4073751592.30634
"PICs","Americas","Asia","Vitaminb12","mcg",783309305.751404
"PICs","Americas","Europe","Protein","g",6076157146.41281
"PICs","Americas","Europe","Fattyacids","g",160909528.739704
"PICs","Americas","Europe","Calcium","mg",3971367782.2541
"PICs","Americas","Europe","Zinc","mg",198326283.372415
"PICs","Americas","Europe","Iron","mg",361367923.55533
"PICs","Americas","Europe","Vitamina","mcg",4543901285.7253
"PICs","Americas","Europe","Vitaminb12","mcg",1357226206.24126
"PICs","Americas","Oceania","Protein","g",75238710.5491529
"PICs","Americas","Oceania","Fattyacids","g",1781338.96924992
"PICs","Americas","Oceania","Calcium","mg",86087783.6164727
"PICs","Americas","Oceania","Zinc","mg",2464440.35814322
"PICs","Americas","Oceania","Iron","mg",2865285.66714788
