"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value"
"Africa","Oceania","PICs",2008,"Fattyacids","g",3645236.91246258
"Africa","Oceania","PICs",2008,"Calcium","mg",148358778.554223
"Africa","Oceania","PICs",2008,"Zinc","mg",2463860.3066948
"Africa","Oceania","PICs",2008,"Iron","mg",4263857.26043895
"Africa","Oceania","PICs",2008,"Vitamina","mcg",90606477.3696923
"Africa","Oceania","PICs",2008,"Vitaminb12","mcg",31809011.5207617
"Africa","Oceania","PICs",2009,"Protein","g",4785244.17814758
"Africa","Oceania","PICs",2009,"Fattyacids","g",442782.913017115
"Africa","Oceania","PICs",2009,"Calcium","mg",17751522.1686177
"Africa","Oceania","PICs",2009,"Zinc","mg",293005.87402626
"Africa","Oceania","PICs",2009,"Iron","mg",500971.797196956
"Africa","Oceania","PICs",2009,"Vitamina","mcg",10616099.0064779
"Africa","Oceania","PICs",2009,"Vitaminb12","mcg",3681621.44580737
"Africa","Oceania","PICs",2010,"Protein","g",52869619.2985317
"Africa","Oceania","PICs",2010,"Fattyacids","g",5006045.53954037
"Africa","Oceania","PICs",2010,"Calcium","mg",203859586.45401
"Africa","Oceania","PICs",2010,"Zinc","mg",3388273.89985389
"Africa","Oceania","PICs",2010,"Iron","mg",5851829.1030283
"Africa","Oceania","PICs",2010,"Vitamina","mcg",125212835.720629
"Africa","Oceania","PICs",2010,"Vitaminb12","mcg",43687458.2394585
"Africa","Oceania","PICs",2011,"Protein","g",51944216.5769967
"Africa","Oceania","PICs",2011,"Fattyacids","g",4919405.61757455
"Africa","Oceania","PICs",2011,"Calcium","mg",200575036.555074
"Africa","Oceania","PICs",2011,"Zinc","mg",3338713.98113199
"Africa","Oceania","PICs",2011,"Iron","mg",5763367.32519457
"Africa","Oceania","PICs",2011,"Vitamina","mcg",123338785.180568
"Africa","Oceania","PICs",2011,"Vitaminb12","mcg",43034133.4899111
"Africa","Oceania","PICs",2012,"Protein","g",130739786.190141
"Africa","Oceania","PICs",2012,"Fattyacids","g",12379788.787408
"Africa","Oceania","PICs",2012,"Calcium","mg",504975914.13563
"Africa","Oceania","PICs",2012,"Zinc","mg",8399147.13922037
"Africa","Oceania","PICs",2012,"Iron","mg",14489904.1494379
"Africa","Oceania","PICs",2012,"Vitamina","mcg",309800130.208767
"Africa","Oceania","PICs",2012,"Vitaminb12","mcg",108123990.932121
"Africa","Oceania","PICs",2013,"Protein","g",14435634.0889093
